Src	EqId	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
us	b000dbgy	?	"Tuesday, October 23, 2012 10:45:21 UTC"	-25.7172	-70.5558	5.1	32.43	?	"35km SSW of Taltal	 Chile"
us	b000dbf7	?	"Tuesday, October 23, 2012 09:39:31 UTC"	-22.3161	171.6753	6	127.01	?	"39km WNW of Ile Hunter	 New Caledonia"
us	b000dbf0	?	"Tuesday, October 23, 2012 09:33:19 UTC"	-57.5752	148.078	5.2	10	?	"West of Macquarie Island"
us	b000dbe2	?	"Tuesday, October 23, 2012 08:53:38 UTC"	29.0898	139.2435	5.9	442.97	?	"Izu Islands	 Japan region"
pr	12297000	?	"Tuesday, October 23, 2012 08:22:15 UTC"	18.8885	-65.004	3	7	?	"60km N of Charlotte Amalie	 U.S. Virgin Islands"
nc	71865635	?	"Tuesday, October 23, 2012 07:45:52 UTC"	40.2988	-124.5322	3.7	8.7	?	"38km SW of Ferndale	 California"
nc	71865625	?	"Tuesday, October 23, 2012 07:29:42 UTC"	36.0062	-120.5673	2.5	5	?	"23km SW of Coalinga	 California"
ak	10585826	?	"Tuesday, October 23, 2012 05:52:19 UTC"	61.3982	-150.0532	2.8	13.6	?	"14km SSW of Big Lake	 Alaska"
us	b000dbb8	?	"Tuesday, October 23, 2012 05:38:28 UTC"	-8.9938	124.1056	4.4	102.97	?	"64km NW of Kefamenanu	 Indonesia"
nc	71865540	?	"Tuesday, October 23, 2012 05:22:05 UTC"	36.296	-120.8562	2.5	8.5	?	"25km ENE of King City	 California"
nc	71865510	?	"Tuesday, October 23, 2012 04:37:56 UTC"	35.5767	-120.8833	2.7	5	?	"14km N of Cayucos	 California"
nc	71865485	?	"Tuesday, October 23, 2012 03:55:46 UTC"	38.7658	-122.7408	2.5	2.3	?	"6km SSW of Cobb	 California"
ak	10585752	?	"Tuesday, October 23, 2012 02:10:08 UTC"	58.0592	-152.7665	2.5	96	?	"34km NNW of Kodiak Station	 Alaska"
us	b000db8e	?	"Tuesday, October 23, 2012 00:37:09 UTC"	39.5704	143.027	4.7	26.52	?	"92km E of Miyako	 Japan"
us	b000db87	?	"Tuesday, October 23, 2012 00:21:11 UTC"	14.2154	-89.8137	4.5	260.53	?	"3km WNW of Yupiltepeque	 Guatemala"
ak	10585676	?	"Monday, October 22, 2012 23:27:33 UTC"	63.4052	-151.2936	3.3	7.8	?	"117km W of Cantwell	 Alaska"
us	b000db6x	?	"Monday, October 22, 2012 23:05:06 UTC"	-4.8597	133.9724	4.7	10.01	?	"103km NNW of Dobo	 Indonesia"
pr	12296007	?	"Monday, October 22, 2012 21:50:01 UTC"	19.1299	-64.7295	2.8	59	?	"79km N of Road Town	 British Virgin Islands"
ak	10585632	?	"Monday, October 22, 2012 21:39:45 UTC"	51.4721	-178.1538	3.2	13.2	?	"45km S of Tanaga Volcano	 Alaska"
ak	10585633	?	"Monday, October 22, 2012 21:39:33 UTC"	56.4218	-158.1524	2.5	73.9	?	"42km ENE of Chignik Lake	 Alaska"
hv	60417236	?	"Monday, October 22, 2012 21:38:06 UTC"	19.3872	-155.2393	2.6	3.8	?	"4km S of Volcano	 Hawaii"
ak	10585532	?	"Monday, October 22, 2012 19:23:04 UTC"	51.982	-175.0445	4.4	71.6	?	"62km WSW of Atka	 Alaska"
pr	12296006	?	"Monday, October 22, 2012 15:11:31 UTC"	18.6844	-64.3567	2.9	81	?	"40km NE of Road Town	 British Virgin Islands"
us	b000dapn	?	"Monday, October 22, 2012 14:46:42 UTC"	2.8649	147.6907	5.1	15.14	?	"Federated States of Micronesia region"
uw	60479471	?	"Monday, October 22, 2012 12:37:57 UTC"	44.9103	-125.3478	2.7	27.9	?	"102km W of Depoe Bay	 Oregon"
us	b000dam6	?	"Monday, October 22, 2012 11:58:24 UTC"	50.1575	156.8403	4.8	40.8	?	"77km SE of Severo-Kuril'sk	 Russia"
pr	12296004	?	"Monday, October 22, 2012 10:46:13 UTC"	19.5237	-64.1682	2.8	77	?	"131km NNE of Road Town	 British Virgin Islands"
us	b000dakt	?	"Monday, October 22, 2012 09:56:00 UTC"	-56.3392	-25.7488	5.2	46	?	"97km ENE of Visokoi Island	 "
us	b000daka	?	"Monday, October 22, 2012 09:27:10 UTC"	38.0197	141.8893	4.6	53.92	?	"67km SE of Ishinomaki	 Japan"
ak	10585326	?	"Monday, October 22, 2012 08:19:10 UTC"	58.2451	-155.136	3.6	6.1	?	"95km ESE of King Salmon	 Alaska"
pr	12296003	?	"Monday, October 22, 2012 05:26:29 UTC"	19.6643	-64.2636	3.2	63	?	"143km NNE of Road Town	 British Virgin Islands"
ak	10585267	?	"Monday, October 22, 2012 03:43:35 UTC"	51.7202	176.2892	3.4	36.6	?	"75km SSE of Buldir Island	 Alaska"
ak	10585236	?	"Monday, October 22, 2012 02:04:22 UTC"	61.0651	-155.867	2.5	15.3	?	"155km NNW of Old Iliamna	 Alaska"
us	b000dafq	?	"Monday, October 22, 2012 01:43:20 UTC"	39.0828	142.3051	4.8	66.32	?	"41km ESE of Kamaishi	 Japan"
us	b000daf4	?	"Monday, October 22, 2012 01:02:24 UTC"	4.22	124.5475	4.6	319.61	?	"165km SW of Sarangani	 Philippines"
ak	10585208	?	"Monday, October 22, 2012 00:49:45 UTC"	52.6688	-169.3415	3.6	49.7	?	"43km SW of Nikolski	 Alaska"
us	b000daf7	?	"Monday, October 22, 2012 00:32:10 UTC"	-16.4732	-174.7641	4.8	37.67	?	"122km WSW of Hihifo	 Tonga"
ci	15233409	?	"Sunday, October 21, 2012 23:47:35 UTC"	31.3012	-115.5837	3.2	10	?	"68km NE of Camalu	 Mexico"
pr	12295006	?	"Sunday, October 21, 2012 23:28:42 UTC"	19.065	-66.4565	3	38	?	"66km N of Tierras Nuevas Poniente	 Puerto Rico"
ak	10585182	?	"Sunday, October 21, 2012 23:26:25 UTC"	52.3987	-169.0268	3	29.1	?	"60km S of Nikolski	 Alaska"
nc	71864415	?	"Sunday, October 21, 2012 23:03:14 UTC"	40.3097	-124.5225	2.8	19.1	?	"36km SW of Ferndale	 California"
us	b000da9m	?	"Sunday, October 21, 2012 20:44:19 UTC"	12.6548	-88.1474	5	92.06	?	"60km S of Intipuca	 El Salvador"
nc	71864295	?	"Sunday, October 21, 2012 20:40:08 UTC"	40.9012	-123.9343	3.6	21.9	?	"4km ENE of Blue Lake	 California"
us	b000da99	?	"Sunday, October 21, 2012 20:28:20 UTC"	12.6831	-88.1063	5.5	65.55	?	"57km S of Intipuca	 El Salvador"
us	b000da8f	?	"Sunday, October 21, 2012 19:14:20 UTC"	-5.4413	128.2021	4.3	365.01	?	"189km S of Amahusu	 Indonesia"
pr	12295005	?	"Sunday, October 21, 2012 19:05:23 UTC"	18.7192	-64.3675	2.6	40	?	"42km NE of Road Town	 British Virgin Islands"
us	2012gzay	?	"Sunday, October 21, 2012 16:38:20 UTC"	27.7528	59.3947	4.7	10	?	"141km WNW of Iranshahr	 Iran"
us	2012gzax	?	"Sunday, October 21, 2012 16:13:22 UTC"	24.9558	56.1392	4.5	33	?	"27km SW of Al Fujayrah	 United Arab Emirates"
us	2012gzav	?	"Sunday, October 21, 2012 15:30:45 UTC"	-7.3459	128.5939	4.6	158.5	?	"Kepulauan Barat Daya	 Indonesia"
nc	71864110	?	"Sunday, October 21, 2012 15:21:02 UTC"	36.2807	-120.8398	2.8	9.8	?	"26km ENE of King City	 California"
us	b000da4y	?	"Sunday, October 21, 2012 15:07:30 UTC"	19.5213	-69.8235	4.3	17.9	?	"8km ENE of Arroyo Salado	 Dominican Republic"
ak	10585060	?	"Sunday, October 21, 2012 13:54:03 UTC"	61.7863	-152.0238	2.8	60.3	?	"104km W of Willow	 Alaska"
us	2012gzas	?	"Sunday, October 21, 2012 13:32:02 UTC"	10.1276	-85.525	4.4	41.1	?	"8km WSW of Nicoya	 Costa Rica"
us	b000da32	?	"Sunday, October 21, 2012 11:57:27 UTC"	53.4341	142.6336	5.1	9.91	?	"22km WNW of Tungor	 Russia"
us	b000da2s	?	"Sunday, October 21, 2012 11:40:37 UTC"	-37.6175	-73.4396	4.7	16.47	?	"18km SSW of Curanilahue	 Chile"
us	b000da2e	?	"Sunday, October 21, 2012 10:58:29 UTC"	38.1825	74.1301	4.4	155.99	?	"14km E of Murghob	 Tajikistan"
pr	12295003	?	"Sunday, October 21, 2012 10:51:49 UTC"	19.0454	-63.9142	3.1	93	?	"101km NE of Road Town	 British Virgin Islands"
us	b000da22	?	"Sunday, October 21, 2012 10:44:15 UTC"	35.6531	-97.215	3.4	5	?	"2km WSW of Luther	 Oklahoma"
hv	60415866	?	"Sunday, October 21, 2012 09:58:33 UTC"	19.3787	-155.241	2.7	3.4	?	"5km S of Volcano	 Hawaii"
us	b000da1c	?	"Sunday, October 21, 2012 08:43:54 UTC"	52.2081	176.5517	4.6	31.79	?	"45km ESE of Buldir Island	 Alaska"
us	b000da0m	?	"Sunday, October 21, 2012 07:54:46 UTC"	13.7834	96.2255	4.7	29.98	?	"215km W of Dawei	 Myanmar"
nc	71863750	?	"Sunday, October 21, 2012 07:51:33 UTC"	36.3068	-120.8473	3.1	10.9	?	"27km ENE of King City	 California"
nc	71863730	?	"Sunday, October 21, 2012 07:37:47 UTC"	36.309	-120.849	3.6	10.2	?	"27km ENE of King City	 California"
pr	12295002	?	"Sunday, October 21, 2012 07:18:05 UTC"	19.0578	-64.3315	2.7	56	?	"77km NNE of Road Town	 British Virgin Islands"
nc	71863700	?	"Sunday, October 21, 2012 07:18:03 UTC"	36.3058	-120.8575	2.9	8	?	"26km ENE of King City	 California"
pr	12295001	?	"Sunday, October 21, 2012 07:15:12 UTC"	17.9342	-65.7817	2.8	13	?	"12km SE of Emajagua	 Puerto Rico"
nc	71863625	?	"Sunday, October 21, 2012 06:55:09 UTC"	36.3097	-120.856	5.3	9.2	?	"26km ENE of King City	 California"
us	b000d9ze	?	"Sunday, October 21, 2012 06:27:44 UTC"	21.0716	122.0753	4.6	156.1	?	"39km NE of Itbayat	 Philippines"
us	b000d9xl	?	"Sunday, October 21, 2012 02:41:14 UTC"	-8.021	108.2238	4.4	71.03	?	"24km SSW of Kalapagenep	 Indonesia"
ak	10584863	?	"Sunday, October 21, 2012 02:27:11 UTC"	60.3131	-144.6763	3.4	11.3	?	"64km ESE of Cordova	 Alaska"
us	b000d9x3	?	"Sunday, October 21, 2012 01:25:22 UTC"	66.2961	-18.6852	5.7	9.93	?	"18km NNE of Siglufjordur	 Iceland"
pr	12295000	?	"Sunday, October 21, 2012 00:52:32 UTC"	19.728	-65.6031	3.3	63	?	"146km N of Vieques	 Puerto Rico"
us	b000d9wi	?	"Sunday, October 21, 2012 00:10:36 UTC"	66.3721	-18.5537	4.8	10.16	?	"29km NNE of Siglufjordur	 Iceland"
us	b000d9vt	?	"Saturday, October 20, 2012 23:30:06 UTC"	-5.409	68.5808	4.8	9.99	?	"Chagos Archipelago region"
pr	12294006	?	"Saturday, October 20, 2012 23:17:13 UTC"	19.3167	-63.8068	2.9	90	?	"131km NE of Road Town	 British Virgin Islands"
us	b000d9v1	?	"Saturday, October 20, 2012 23:00:32 UTC"	-13.5646	166.6005	6.2	35.57	?	"108km WNW of Sola	 Vanuatu"
us	b000d9uy	?	"Saturday, October 20, 2012 22:46:38 UTC"	49.9204	88.4934	4.8	16.79	?	"15km SW of Kosh-Agach	 Russia"
ci	15232945	?	"Saturday, October 20, 2012 22:38:56 UTC"	32.5333	-115.6547	2.9	14.3	?	"8km SW of Progreso	 Mexico"
us	b000d9tx	?	"Saturday, October 20, 2012 22:14:56 UTC"	-17.5371	-178.958	4.3	515.69	?	"215km SE of Lambasa	 Fiji"
us	b000d9tf	?	"Saturday, October 20, 2012 21:51:11 UTC"	6.7561	-73.051	4.5	165.17	?	"7km NNW of Aratoca	 Colombia"
us	b000d9t6	?	"Saturday, October 20, 2012 21:48:51 UTC"	-21.4857	-66.7134	4.6	208.01	?	"78km SW of Atocha	 Bolivia"
us	b000d9me	?	"Saturday, October 20, 2012 17:31:57 UTC"	37.4714	69.1736	4.7	10.42	?	"20km W of Farkhor	 Tajikistan"
us	b000d9ll	?	"Saturday, October 20, 2012 16:29:50 UTC"	-3.5456	100.5731	4.9	35.75	?	"185km SSW of Sungaipenuh	 Indonesia"
pr	12294003	?	"Saturday, October 20, 2012 13:39:49 UTC"	19.4915	-64.2017	2.9	72	?	"126km NNE of Road Town	 British Virgin Islands"
us	b000d9gp	?	"Saturday, October 20, 2012 10:56:40 UTC"	2.5928	-79.8484	4.8	9.98	?	"136km WNW of Francisco Pizarro	 Colombia"
us	b000d9gd	?	"Saturday, October 20, 2012 10:38:20 UTC"	7.3775	91.8703	4.5	30.27	?	"172km WSW of Mohean	 India"
us	b000d9fg	?	"Saturday, October 20, 2012 08:49:38 UTC"	24.4467	122.5248	4.9	78.83	?	"48km W of Yonakuni	 Japan"
pr	12294002	?	"Saturday, October 20, 2012 07:51:20 UTC"	18.0128	-66.6205	2.8	14	?	"0km WNW of Ponce	 Puerto Rico"
pr	12294001	?	"Saturday, October 20, 2012 07:28:58 UTC"	18.809	-64.3164	3.2	51	?	"53km NE of Road Town	 British Virgin Islands"
pr	12294000	?	"Saturday, October 20, 2012 06:03:41 UTC"	18.9694	-65.8281	3	17	?	"59km N of Loiza	 Puerto Rico"
us	b000d9cm	?	"Saturday, October 20, 2012 03:42:05 UTC"	10.9356	-74.1362	4.4	49.7	?	"14km ESE of Cienaga	 Colombia"
ak	10584533	?	"Saturday, October 20, 2012 03:34:17 UTC"	51.1317	-176.2318	2.5	13.9	?	"88km SSE of Adak	 Alaska"
us	b000d9bu	?	"Saturday, October 20, 2012 03:25:11 UTC"	61.0931	-150.3974	3.1	37.7	?	"30km WSW of Anchorage	 Alaska"
us	b000d9bh	?	"Saturday, October 20, 2012 02:49:15 UTC"	30.1125	130.9833	4.7	24.94	?	"68km S of Nishinoomote	 Japan"
us	b000d99p	?	"Saturday, October 20, 2012 00:25:51 UTC"	-32.2077	-71.9309	4.3	21.36	?	"71km WNW of La Ligua	 Chile"
hv	60414961	?	"Friday, October 19, 2012 23:06:23 UTC"	19.4077	-155.28	2.6	1.1	?	"5km WSW of Volcano	 Hawaii"
us	b000d970	?	"Friday, October 19, 2012 22:48:19 UTC"	-31.7721	-71.9589	4.6	17.26	?	"76km WSW of Illapel	 Chile"
us	b000d95v	?	"Friday, October 19, 2012 22:10:52 UTC"	29.1751	52.5815	4.5	10.02	?	"20km WSW of Akbarabad	 Iran"
us	b000d94e	?	"Friday, October 19, 2012 21:27:29 UTC"	29.4018	51.289	4.3	9.95	?	"16km NNE of Borazjan	 Iran"
pr	12293003	?	"Friday, October 19, 2012 20:44:40 UTC"	19.0802	-64.7311	2.8	36	?	"74km N of Road Town	 British Virgin Islands"
nc	71862520	?	"Friday, October 19, 2012 17:44:45 UTC"	36.4672	-121.0352	3.4	8.5	?	"24km NE of Greenfield	 California"
hv	60414646	?	"Friday, October 19, 2012 17:23:24 UTC"	19.4198	-155.2827	2.7	1.6	?	"4km WSW of Volcano	 Hawaii"
us	b000d8uf	?	"Friday, October 19, 2012 17:22:03 UTC"	-21.0902	176.436	5.2	13.99	?	"205km ENE of Ceva-i-Ra	 Fiji"
us	b000d8up	?	"Friday, October 19, 2012 17:19:21 UTC"	32.7077	141.6643	4.9	40.97	?	"179km ESE of Hachijo-jima	 Japan"
hv	60414641	?	"Friday, October 19, 2012 17:07:56 UTC"	19.3872	-155.2443	2.7	3.4	?	"4km S of Volcano	 Hawaii"
ak	10584088	?	"Friday, October 19, 2012 17:04:31 UTC"	66.1928	-147.9034	2.5	8.7	?	"124km WSW of Fort Yukon	 Alaska"
us	b000d8rc	?	"Friday, October 19, 2012 16:27:54 UTC"	-4.9351	134.1062	4.3	36.09	?	"92km N of Dobo	 Indonesia"
ak	10584055	?	"Friday, October 19, 2012 16:17:20 UTC"	51.5378	-178.1201	2.5	13.2	?	"38km S of Tanaga Volcano	 Alaska"
us	b000d9js	?	"Friday, October 19, 2012 15:42:47 UTC"	-7.48	-80.2	4.1	30	?	"69km W of Pacasmayo	 Peru"
us	b000d8pu	?	"Friday, October 19, 2012 15:34:14 UTC"	-30.6983	-177.6451	5.3	34.94	?	"144km NE of L'Esperance Rock	 New Zealand"
pr	12293002	?	"Friday, October 19, 2012 13:45:34 UTC"	18.9794	-64.7139	3.3	4	?	"63km N of Road Town	 British Virgin Islands"
ak	10584013	?	"Friday, October 19, 2012 13:39:29 UTC"	59.4621	-151.9824	2.8	55.3	?	"31km SW of Homer	 Alaska"
ak	10584006	?	"Friday, October 19, 2012 13:17:32 UTC"	51.5738	-175.2415	4.1	26.8	?	"99km SW of Atka	 Alaska"
ak	10583992	?	"Friday, October 19, 2012 12:38:22 UTC"	62.5944	-149.964	2.7	17.4	?	"31km NNE of Talkeetna	 Alaska"
us	b000d8nh	?	"Friday, October 19, 2012 11:55:53 UTC"	-10.2613	161.2491	4.5	112.21	?	"76km WNW of Kirakira	 Solomon Islands"
us	b000d8my	?	"Friday, October 19, 2012 10:13:54 UTC"	-9.4714	67.0665	4.8	9.5	?	"Mid-Indian Ridge"
nc	71862225	?	"Friday, October 19, 2012 09:47:27 UTC"	38.8115	-122.8238	2.5	2.8	?	"8km W of Cobb	 California"
nc	71065774	?	"Friday, October 19, 2012 09:15:40 UTC"	37.6408	-118.9443	2.7	7.6	?	"2km ESE of Mammoth Lakes	 California"
us	b000d8me	?	"Friday, October 19, 2012 09:12:58 UTC"	39.3092	141.9658	4.5	51.18	?	"8km ENE of Kamaishi	 Japan"
pr	12293001	?	"Friday, October 19, 2012 08:30:18 UTC"	19.0664	-64.8251	3.3	77	?	"75km NNW of Road Town	 British Virgin Islands"
ak	10583912	?	"Friday, October 19, 2012 08:03:03 UTC"	59.9381	-141.755	2.5	1.4	?	"40km ESE of Cape Yakataga	 Alaska"
us	b000d8ls	?	"Friday, October 19, 2012 07:42:28 UTC"	12.2954	-88.4072	4.4	35.13	?	"106km SSW of Chirilagua	 El Salvador"
nc	71862145	?	"Friday, October 19, 2012 07:33:28 UTC"	38.808	-122.823	2.7	2.5	?	"8km W of Cobb	 California"
us	b000d8l6	?	"Friday, October 19, 2012 06:42:14 UTC"	-38.7448	176.051	4.7	98.19	?	"7km SSW of Taupo	 New Zealand"
ak	10583868	?	"Friday, October 19, 2012 05:25:18 UTC"	63.5352	-149.5378	3.7	106.7	?	"33km WNW of Cantwell	 Alaska"
us	b000d8kg	?	"Friday, October 19, 2012 05:08:46 UTC"	-19.3335	-177.5575	4.5	561.42	?	"188km NE of Ndoi Island	 Fiji"
us	b000d8k6	?	"Friday, October 19, 2012 03:35:12 UTC"	32.5954	31.0055	5	15.22	?	"143km NNE of Rosetta	 Egypt"
ak	10583849	?	"Friday, October 19, 2012 03:26:44 UTC"	60.2787	-150.8732	2.8	0	?	"25km SSE of Soldotna	 Alaska"
pr	12293000	?	"Friday, October 19, 2012 03:09:16 UTC"	18.2226	-64.2285	2.7	63	?	"46km ESE of Road Town	 British Virgin Islands"
ci	15232441	?	"Friday, October 19, 2012 02:51:56 UTC"	32.18	-115.2095	4.2	10	?	"6km SW of Alberto Oviedo Mota	 Mexico"
us	b000d8jv	?	"Friday, October 19, 2012 01:50:10 UTC"	39.5883	143.2594	4.7	42.11	?	"112km E of Miyako	 Japan"
ak	10583824	?	"Friday, October 19, 2012 01:49:40 UTC"	51.8294	178.2639	2.7	130	?	"21km SW of Little Sitkin Island	 Alaska"
us	b000d8jr	?	"Friday, October 19, 2012 01:19:44 UTC"	-4.7632	152.1374	4.8	88.31	?	"47km SSW of Kokopo	 Papua New Guinea"
ak	10582119	?	"Thursday, October 18, 2012 23:22:28 UTC"	59.6627	-151.3909	2.5	54.3	?	"9km ENE of Homer	 Alaska"
us	b000d8fm	?	"Thursday, October 18, 2012 21:24:22 UTC"	-62.721	155.8132	4.8	9.99	?	"Balleny Islands region"
ak	10581873	?	"Thursday, October 18, 2012 17:38:48 UTC"	61.1676	-147.1245	2.5	7.8	?	"41km W of Valdez	 Alaska"
ak	10581853	?	"Thursday, October 18, 2012 17:26:30 UTC"	62.5492	-149.949	2.5	65.5	?	"26km NNE of Talkeetna	 Alaska"
us	b000d8by	?	"Thursday, October 18, 2012 16:26:49 UTC"	-0.1211	125.5629	4.9	20.04	?	"160km SE of Modayag	 Indonesia"
ak	10581768	?	"Thursday, October 18, 2012 15:50:07 UTC"	60.5866	-149.6252	2.9	68.6	?	"40km W of Whittier	 Alaska"
pr	12292001	?	"Thursday, October 18, 2012 12:31:39 UTC"	18.6089	-65.649	2.6	77	?	"27km NNE of Luquillo	 Puerto Rico"
hv	60413901	?	"Thursday, October 18, 2012 12:14:52 UTC"	19.3773	-155.2402	2.7	3.5	?	"5km S of Volcano	 Hawaii"
us	b000d8af	?	"Thursday, October 18, 2012 11:26:42 UTC"	-20.5976	-178.36	4.5	545.65	?	"35km E of Ndoi Island	 Fiji"
us	b000d88e	?	"Thursday, October 18, 2012 09:00:05 UTC"	-6.5045	98.0313	4.5	14.88	?	"Southwest of Sumatra	 Indonesia"
us	b000d88m	?	"Thursday, October 18, 2012 08:38:34 UTC"	39.3205	-29.8754	4.6	10.01	?	"107km E of Santa Cruz das Flores	 Portugal"
pr	12292000	?	"Thursday, October 18, 2012 07:10:25 UTC"	19.6315	-64.2239	3.3	61	?	"140km NNE of Road Town	 British Virgin Islands"
us	b000d86e	?	"Thursday, October 18, 2012 05:23:14 UTC"	-34.6889	-71.9058	4.6	43	?	"49km W of Santa Cruz	 Chile"
us	b000d86b	?	"Thursday, October 18, 2012 05:21:11 UTC"	42.2172	-101.9778	3.6	5.03	?	"29km NW of Hyannis	 Nebraska"
ak	10581790	?	"Thursday, October 18, 2012 04:56:45 UTC"	51.655	-175.2248	2.9	37.4	?	"92km SW of Atka	 Alaska"
us	b000d85t	?	"Thursday, October 18, 2012 04:32:31 UTC"	53.391	-35.1412	4.6	9.67	?	"Reykjanes Ridge"
us	b000d85g	?	"Thursday, October 18, 2012 04:14:31 UTC"	-8.0983	123.5974	5.1	32.72	?	"106km ENE of Palue	 Indonesia"
ak	10581633	?	"Thursday, October 18, 2012 03:37:04 UTC"	63.2804	-151.086	2.6	5.4	?	"107km W of Cantwell	 Alaska"
hv	60413776	?	"Thursday, October 18, 2012 03:10:19 UTC"	19.3825	-155.241	2.5	2	?	"5km S of Volcano	 Hawaii"
us	b000d83n	?	"Thursday, October 18, 2012 02:33:29 UTC"	23.8545	81.2943	5	14.76	?	"19km NNW of Jaisinghnagar	 India"
us	b000d82s	?	"Thursday, October 18, 2012 01:27:15 UTC"	-54.2731	143.9187	5.7	10.17	?	"West of Macquarie Island"
us	b000d82l	?	"Thursday, October 18, 2012 00:35:11 UTC"	48.3295	154.4513	4.6	48.18	?	"288km SSW of Severo-Kuril'sk	 Russia"
pr	12291008	?	"Wednesday, October 17, 2012 22:43:02 UTC"	19.6711	-64.3575	3.1	34	?	"141km N of Road Town	 British Virgin Islands"
ak	10581284	?	"Wednesday, October 17, 2012 21:21:35 UTC"	59.6268	-150.8662	3.1	32.2	?	"27km ESE of Fritz Creek	 Alaska"
ak	10581268	?	"Wednesday, October 17, 2012 20:50:43 UTC"	68.4441	-144.5264	2.8	9.8	?	"54km NE of Arctic Village	 Alaska"
us	b000d7sc	?	"Wednesday, October 17, 2012 19:38:56 UTC"	1.3011	97.229	5	35.15	?	"161km SE of Sinabang	 Indonesia"
ak	10581218	?	"Wednesday, October 17, 2012 18:40:49 UTC"	64.0483	-148.9513	2.8	15.2	?	"21km N of Healy	 Alaska"
uu	60001862	?	"Wednesday, October 17, 2012 18:34:00 UTC"	38.718	-112.5655	2.6	0.1	?	"34km SW of Fillmore	 Utah"
pr	12291000	?	"Wednesday, October 17, 2012 18:23:02 UTC"	18.804	-64.1287	2.9	36	?	"67km NE of Road Town	 British Virgin Islands"
ak	10581202	?	"Wednesday, October 17, 2012 17:42:45 UTC"	51.5401	-174.9653	3.1	31.9	?	"90km SW of Atka	 Alaska"
us	b000d7m0	?	"Wednesday, October 17, 2012 17:23:42 UTC"	-19.0113	-174.1623	5.5	29.81	?	"44km SSW of Neiafu	 Tonga"
us	2012gva1	?	"Wednesday, October 17, 2012 15:58:56 UTC"	-1.1241	126.8696	4.7	39.2	?	"92km WNW of Laiwui	 Indonesia"
pr	12291006	?	"Wednesday, October 17, 2012 15:37:42 UTC"	19.062	-66.3551	2.6	62	?	"65km N of Brenas	 Puerto Rico"
us	b000d7hi	?	"Wednesday, October 17, 2012 14:49:59 UTC"	-14.9462	-173.713	5	29.49	?	"111km N of Hihifo	 Tonga"
nc	71861120	?	"Wednesday, October 17, 2012 11:32:18 UTC"	36.4652	-121.0347	2.5	5	?	"24km NE of Greenfield	 California"
us	b000d7ev	?	"Wednesday, October 17, 2012 11:08:54 UTC"	35.7477	-113.0879	2.9	4.92	?	"39km NE of Peach Springs	 Arizona"
pr	12291005	?	"Wednesday, October 17, 2012 09:40:32 UTC"	18.7737	-64.8718	2.9	30	?	"47km NW of Road Town	 British Virgin Islands"
ak	10581039	?	"Wednesday, October 17, 2012 09:39:04 UTC"	50.146	179.9941	2.9	31.2	?	"139km SSW of Amatignak Island	 Alaska"
ak	10581031	?	"Wednesday, October 17, 2012 09:33:01 UTC"	65.4299	-147.9843	3.2	34.4	?	"64km N of College	 Alaska"
ak	10581020	?	"Wednesday, October 17, 2012 09:27:05 UTC"	65.3961	-148.0333	2.8	25.7	?	"61km N of College	 Alaska"
